Deck,Name,Box,Quantity,Suit,Cost,Cost Suit,Effect
Exiles and Partisans,Swap Meet,Stone,2,Rabbit,1,Rabbit,"Once in Birdsong, may take a random card from another player and then give them a card."
Exiles and Partisans,Mouse Partisans,Stone,1,Mouse,1,Mouse,"In battle in mouse clearings, may deal one extra hit, then discard all your cards except mice."
Exiles and Partisans,League of Adventerous Mice,Stone,2,Mouse,1,Mouse,"Once in Daylight, may exhaust an item in your Crafted Items box to take a move or initiate battle."
Exiles and Partisans,Murine Broker,Stone,1,Mouse,2,Mouse,"Whenever another player crafts an item, draw a card."
Exiles and Partisans,Master Engravers,Stone,1,Mouse,2,Mouse,"Whenever you craft an item, score one extra point."
Exiles and Partisans,Woodland Runners,Paper,1,Bird,1,Rabbit,"Gain 1 Boot and 1 Victory Point, then discard."
Exiles and Partisans,Arms Trader,Paper,1,Bird,2,Fox,"Gain 1 Sword and 2 Victory Points, then discard."
Exiles and Partisans,Crossbow,Paper,1,Bird,1,Fox,"Gain 1 Crossbow and 1 Victory Point, then discard."
Exiles and Partisans,Gently Used Knapsack,Paper,1,Fox,1,Mouse,"Gain 1 Satchel and 1 Victory Point, then discard."
Exiles and Partisans,Root Tea,Paper,1,Fox,1,Mouse,"Gain 1 Tea and 2 Victory Points, then discard."
Exiles and Partisans,Travel Gear,Paper,1,Fox,1,Rabbit,"Gain 1 Boot and 1 Victory Point, then discard."
Exiles and Partisans,Protection Racket,Paper,1,Fox,2,Rabbit,"Gain 1 Coins and 3 Victory Points, then discard."
Exiles and Partisans,Foxfolk Steel,Paper,1,Fox,2,Fox,"Gain 1 Sword and 2 Victory Points, then discard."
Exiles and Partisans,Anvil,Paper,1,Fox,1,Fox,"Gain 1 Hammer and 2 Victory Points, then discard."
Exiles and Partisans,Birdy Bindle,Paper,1,Bird,1,Mouse,"Gain 1 Satchel and 1 Victory Point, then discard."
Exiles and Partisans,Smuggler's Trail,Paper,1,Rabbit,1,Mouse,"Gain 1 Satchel and 1 Victory Point, then discard."
Exiles and Partisans,Root Tea,Paper,1,Rabbit,1,Mouse,"Gain 1 Tea and 2 Victory Points, then discard."
Exiles and Partisans,A Visit to Friends,Paper,1,Rabbit,1,Rabbit,"Gain 1 Boot and 1 Victory Point, then discard."
Exiles and Partisans,Bake Sale,Paper,1,Rabbit,2,Rabbit,"Gain 1 Coins and 3 Victory Points, then discard."
Exiles and Partisans,Mouse-in-a-Sack,Paper,1,Mouse,1,Mouse,"Gain 1 Satchel and 1 Victory Point, then discard."
Exiles and Partisans,Root Tea,Paper,1,Mouse,1,Mouse,"Gain 1 Tea and 2 Victory Points, then discard."
Exiles and Partisans,Travel Gear,Paper,1,Mouse,1,Rabbit,"Gain 1 Boot and 1 Victory Point, then discard."
Exiles and Partisans,Investments,Paper,1,Mouse,2,Rabbit,"Gain 1 Coins and 3 Victory Points, then discard."
Exiles and Partisans,Sword,Paper,1,Mouse,2,Fox,"Gain 1 Sword and 2 Victory Points, then discard."
Exiles and Partisans,Crossbow,Paper,1,Mouse,1,Fox,"Gain 1 Crossbow and 1 Victory Point, then discard."
Exiles and Partisans,Ambush,Paper,1,Fox,0,None,"You may only ambush in a fox clearing. At start of battle, defender may play to deal two immediate hits, then discard. Cancel if attacker plays matching ambush."
Exiles and Partisans,Ambush,Paper,1,Rabbit,0,None,"You may only ambush in a rabbit clearing. At start of battle, defender may play to deal two immediate hits, then discard. Cancel if attacker plays matching ambush."
Exiles and Partisans,Ambush,Paper,1,Mouse,0,None,"You may only ambush in a mouse clearing. At start of battle, defender may play to deal two immediate hits, then discard. Cancel if attacker plays matching ambush."
Exiles and Partisans,Ambush,Paper,2,Bird,0,None,"You may ambush in any clearing. At start of battle, defender may play to deal two immediate hits, then discard. Cancel if attacker plays matching ambush."
Exiles and Partisans,Dominance,Stone,1,Mouse,0,None,"If you have at least 10 points, play during Daylight and remove your score marker. You win the game if you rule three mouse clearings at the start of your Birdsong. In games of four or more, as Vagabond, you may form a coalition."
Exiles and Partisans,Dominance,Stone,1,Fox,0,None,"If you have at least 10 points, play during Daylight and remove your score marker. You win the game if you rule three fox clearings at the start of your Birdsong. In games of four or more, as Vagabond, you may form a coalition."
Exiles and Partisans,Dominance,Stone,1,Bird,0,None,"If you have at least 10 points, play during Daylight and remove your score marker. You win the game if you rule two opposite corners at the start of your Birdsong. In games of four or more, as Vagabond, you may form a coalition."
Exiles and Partisans,Dominance,Stone,1,Rabbit,0,None,"If you have at least 10 points, play during Daylight and remove your score marker. You win the game if you rule three rabbit clearings at the start of your Birdsong. In games of four or more, as Vagabond, you may form a coalition."
Squires and Disciples,Sky Couriers,Stone,2,Bird,1,Any,"At the start of Birdsong, you may spend at least one card to draw oe card for each spent plus one, then discard this."
Squires and Disciples,Spy Network,Paper,1,Bird,1,Any,Give a card to an enemy to take a crafted card from them into your hand. Shuffle this into the deck.
Squires and Disciples,Silver-Tongue,Stone,1,Bird,2,Any,"During any one effect on your turn (action, ability, card, etc.), you may spend this or another card to treat a matching clearing with your pieces as one you rule."
Squires and Disciples,Shadow Council,Stone,1,Bird,2,Any,"At the start of Birdsong, you must spend a card to force a player to battle in a matching clearing against a defender you choose, then return this to hand."
Squires and Disciples,Feather Rufflers,Paper,2,Bird,2,Any,Place two warriors in a clearing with your pieces. Discard this.
Squires and Disciples,Fox Squires,Stone,1,Fox,1,Fox,"Once in Daylight, you may spend this or a fox card to battle in or move from a fox clearing."
Squires and Disciples,Bold Leadership,Stone,1,Fox,1,Fox,"When attacking in battle, you must deal one extra hit, then either return this to hand or spend a card matching the battle clearing."
Squires and Disciples,Supply Train,Stone,1,Fox,1,Fox,"After moving on your turn, you may return this to hand to move to or from your destination, even during a compound action (like March)."
Squires and Disciples,Tactician,Stone,1,Fox,2,"Fox, Any","In battle, before the roll, you may return this to hand to move once to the battle clearing."
Squires and Disciples,Apprentice,Stone,1,Fox,1,Fox,"At the start of Birdsong, you must craft a card at no cost. If you do, discard this. If you cannot, show your hand."
Squires and Disciples,Friend of the Foxes,Stone,1,Fox,2,"Fox, Any","Once per turn, you may spend or reveal one fox card (even ambush) as another suit (even bird). You cannot craft other Friend cards."
Squires and Disciples,Lookouts,Stone,1,Rabbit,2,"Rabbit, Any","As defender in batte, before the roll, you must place one warrior in the battle clearing, then return this to hand or spend a card matching the clearing."
Squires and Disciples,Rabbit Squires,Stone,1,Rabbit,1,Rabbit,"Once in Daylight, you may spend this or a rabbit card to battle in or move from a rabbit clearing."
Squires and Disciples,Hidden Warrens,Stone,1,Rabbit,2,"Rabbit, Any","At the start of Birdsong, you may return this to hand to move from a clearing to any clearing of the same suit, ignoring rule and paths."
Squires and Disciples,The Faithful,Stone,1,Rabbit,1,Rabbit,"In battle, you may deal one extra hit. If so, reveal and discard the top card of the deck. If it doesn't match the battle clearing, discard this card too."
Squires and Disciples,Riversteads,Stone,1,Rabbit,2,"Rabbit, Any","At start of Birdsong, you must draw one card per river clearing with your pieces, then discard this."
Squires and Disciples,Standard Bearer,Stone,1,Rabbit,1,Rabbit,"After attacking in battle, you may return this to hand to battle in the same clearing, even during a compound action (like Delve)."
Squires and Disciples,Friend of the Rabbits,Stone,1,Rabbit,2,"Rabbit, Any","Once per turn, you rmay spend or reveal one rabbit card (even ambush) as another suit (even bird). You cannot craft other Friend cards."
Squires and Disciples,Mouse Squires,Stone,1,Mouse,1,Mouse,"Once in Daylight, you may spend this or a mouse card to battle in or move from a mouse clearing."
Squires and Disciples,Raiding Party,Stone,1,Mouse,1,Mouse,"After moving on your turn, you may return this to hand to battle in the destination, even during a compound action (like March)."
Squires and Disciples,Friend of the Mice,Stone,1,Mouse,2,"Mouse, Any","Once per turn, you may spend or reveal one mouse card (even ambush) as another suit (even bird). You cannot craft other Friend cards."
Squires and Disciples,Mice-in-a-Bush,Stone,1,Mouse,1,Mouse,"When defending in battle, you may spend this or a card matching the battle clearing as an ambush card that deals one immediate hit."
Squires and Disciples,Brazen Demagogue,Stone,1,Mouse,1,Mouse,"At the end of Evening, take an available dominance card, then discard this. You may activate it except for coalitions, but do not remove your victory point marker."
Squires and Disciples,Ambush,Paper,2,Bird,0,None,"You may ambush in any clearing. At start of battle, defender may play to deal two immediate hits, then discard. Cancel if attacker plays matching ambush."
Squires and Disciples,Birdy Bindle,Paper,1,Bird,1,Mouse,"Gain 1 Satchel and 1 Victory Point, then discard."
Squires and Disciples,Woodland Runners,Paper,1,Bird,1,Rabbit,"Gain 1 Boot and 1 Victory Point, then discard."
Squires and Disciples,Arms Trader,Paper,1,Bird,2,Fox,"Gain 1 Sword and 2 Victory Points, then discard."
Squires and Disciples,Ambush,Paper,1,Fox,0,None,"You may only ambush in a fox clearing. At start of battle, defender may play to deal two immediate hits, then discard. Cancel if attacker plays matching ambush."
Squires and Disciples,Gently Used Knapsack,Paper,1,Fox,1,Mouse,"Gain 1 Satchel and 1 Victory Point, then discard."
Squires and Disciples,Root Tea,Paper,1,Fox,1,Mouse,"Gain 1 Tea and 2 Victory Points, then discard."
Squires and Disciples,Travel Gear,Paper,1,Fox,1,Rabbit,"Gain 1 Boot and 1 Victory Point, then discard."
Squires and Disciples,Protection Racket,Paper,1,Fox,2,Rabbit,"Gain 1 Coins and 3 Victory Points, then discard."
Squires and Disciples,Foxfolk Steel,Paper,1,Fox,2,Fox,"Gain 1 Sword and 2 Victory Points, then discard."
Squires and Disciples,Anvil,Paper,1,Fox,1,Fox,"Gain 1 Hammer and 2 Victory Points, then discard."
Squires and Disciples,Ambush,Paper,1,Rabbit,0,None,"You may only ambush in a rabbit clearing. At start of battle, defender may play to deal two immediate hits, then discard. Cancel if attacker plays matching ambush."
Squires and Disciples,Smuggler's Trail,Paper,1,Rabbit,1,Mouse,"Gain 1 Satchel and 1 Victory Point, then discard."
Squires and Disciples,Root Tea,Paper,1,Rabbit,1,Mouse,"Gain 1 Tea and 2 Victory Points, then discard."
Squires and Disciples,A Visit to Friends,Paper,1,Rabbit,1,Rabbit,"Gain 1 Boot and 1 Victory Point, then discard."
Squires and Disciples,Bake Sale,Paper,1,Rabbit,2,Rabbit,"Gain 1 Coins and 3 Victory Points, then discard."
Squires and Disciples,Ambush,Paper,1,Mouse,0,None,"You may only ambush in a mouse clearing. At start of battle, defender may play to deal two immediate hits, then discard. Cancel if attacker plays matching ambush."
Squires and Disciples,Mouse-in-a-Sack,Paper,1,Mouse,1,Mouse,"Gain 1 Satchel and 1 Victory Point, then discard."
Squires and Disciples,Root Tea,Paper,1,Mouse,1,Mouse,"Gain 1 Tea and 2 Victory Points, then discard."
Squires and Disciples,Travel Gear,Paper,1,Mouse,1,Rabbit,"Gain 1 Boot and 1 Victory Point, then discard."
Squires and Disciples,Investments,Paper,1,Mouse,2,Rabbit,"Gain 1 Coins and 3 Victory Points, then discard."
Squires and Disciples,Sword,Paper,1,Mouse,2,Fox,"Gain 1 Sword and 2 Victory Points, then discard."
Squires and Disciples,Crossbow,Paper,1,Mouse,1,Fox,"Gain 1 Crossbow and 1 Victory Point, then discard."
Squires and Disciples,Dominance,Stone,1,Mouse,0,None,"If you have at least 10 points, play during Daylight and remove your score marker. You win the game if you rule three mouse clearings at the start of your Birdsong. In games of four or more, as Vagabond, you may form a coalition."
Squires and Disciples,Dominance,Stone,1,Fox,0,None,"If you have at least 10 points, play during Daylight and remove your score marker. You win the game if you rule three fox clearings at the start of your Birdsong. In games of four or more, as Vagabond, you may form a coalition."
Squires and Disciples,Dominance,Stone,1,Bird,0,None,"If you have at least 10 points, play during Daylight and remove your score marker. You win the game if you rule two opposite corners at the start of your Birdsong. In games of four or more, as Vagabond, you may form a coalition."
Squires and Disciples,Dominance,Stone,1,Rabbit,0,None,"If you have at least 10 points, play during Daylight and remove your score marker. You win the game if you rule three rabbit clearings at the start of your Birdsong. In games of four or more, as Vagabond, you may form a coalition."
Squires and Disciples,Crossbow,Paper,1,Mouse,1,Fox,"Gain 1 Crossbow and 1 Victory Point, then discard."
